                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1265,                 2.2088,                 1.1228,                0.98216,                0.16335,                0.30893,                0.22918,                 1.0314,                  2.769,                 1.0059,             0.00035725,             0.00035725,             0.00035725
                      2,                 1.0701,                 1.3546,                 1.1336,                0.91797,                 0.2065,                0.31889,                 0.2245,                 1.1175,                 2.4991,                 1.1503,             0.00068069,             0.00068069,             0.00068069
                      3,                 1.0508,                 1.2041,                 1.1238,                0.76291,                0.29683,                0.49585,                0.30857,                 1.1776,                 2.3919,                 1.1771,             0.00095509,             0.00095509,             0.00095509
                      4,                  1.066,                 1.1784,                 1.1418,                0.82016,                0.54208,                 0.6577,                0.42928,                 1.1099,                 1.7651,                 1.1331,              0.0011461,              0.0011461,              0.0011461
                      5,                 1.0775,                 1.1592,                 1.1512,                0.73179,                0.66423,                 0.6998,                0.46166,                 1.0638,                 1.4024,                 1.1289,              0.0010517,              0.0010517,              0.0010517
                      6,                 1.0483,                 1.1801,                 1.1311,                0.73469,                0.65905,                0.71949,                0.45337,                 1.0165,                 1.2737,                 1.0956,             0.00095743,             0.00095743,             0.00095743
                      7,                 1.0059,                 1.1123,                 1.1302,                0.74157,                0.72501,                0.77875,                0.51416,                0.96907,                 1.1221,                 1.0728,             0.00086312,             0.00086312,             0.00086312
                      8,                0.98891,                 1.0479,                 1.1065,                0.82643,                 0.6858,                0.77393,                0.52784,                0.97665,                 1.0616,                 1.0446,              0.0007688,              0.0007688,              0.0007688
                      9,                0.96312,                0.99964,                 1.1057,                0.81471,                0.78216,                0.79343,                0.53026,                0.97104,                0.98896,                   1.05,             0.00067449,             0.00067449,             0.00067449
                     10,                0.96218,                0.96142,                 1.0804,                0.76153,                0.79309,                0.82476,                0.54996,                0.92415,                0.90967,                  1.024,             0.00058017,             0.00058017,             0.00058017
                     11,                0.91565,                0.91771,                 1.0617,                0.77163,                0.79461,                0.80879,                0.55102,                0.90542,                0.88573,                 1.0207,             0.00048586,             0.00048586,             0.00048586
                     12,                0.90261,                 0.8668,                 1.0565,                0.87183,                0.71342,                0.81279,                0.53685,                0.90738,                0.87326,                 1.0223,             0.00039155,             0.00039155,             0.00039155
                     13,                0.88542,                0.83884,                 1.0524,                 0.8304,                0.76271,                0.84197,                0.58316,                0.89267,                0.83536,                 1.0128,             0.00029723,             0.00029723,             0.00029723
                     14,                0.85968,                0.82077,                 1.0394,                0.84932,                0.74262,                 0.8358,                0.59669,                0.86688,                0.81221,                  1.003,             0.00020292,             0.00020292,             0.00020292
                     15,                0.84814,                0.80704,                 1.0416,                0.82411,                0.75855,                0.82916,                 0.5889,                 0.8614,                0.78443,                0.99967,              0.0001086,              0.0001086,              0.0001086
